DBMS_uriform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_open_source_github_repo,github_repo_link,org_name,repo_name,open_source_license
akumuli,Akumuli,https://dbdb.io/db/akumuli,https://dbdb.io/media/logos/akumuli.png.200x200_q85.png,"Last updated Jan. 6, 2022, 12:25 p.m.",Akumuli is a time-series DBMS.,,Custom API,,http://akumuli.org/,https://github.com/akumuli/Akumuli,https://docs.akumuli.org/,,RU,2013,,Open Source,C++,,,Apache v2,,,Y,akumuli/Akumuli,akumuli,Akumuli,Y
akutan,Akutan,https://dbdb.io/db/akutan,https://dbdb.io/media/logos/beam.jpg.200x200_q85.jpg,"Last updated Dec. 15, 2020, 7:38 a.m.",Akutan is a distributed knowledge graph DBMS written in Go.,Triplestore (RDF),Custom API,Shared-Nothing,https://github.com/eBay/akutan,https://github.com/eBay/akutan,,eBay,US,2019,,"Industrial Research,Open Source",Go,,RocksDB,Apache v2,,RDF,Y,eBay/akutan,eBay,akutan,Y
alasql,AlaSQL,https://dbdb.io/db/alasql,https://dbdb.io/media/logos/alasql.png.200x200_q85.png,"Last updated Dec. 10, 2019, 11:50 p.m.",AlaSQL is a relational DBMS designed to run in web browsers and JavaScript-based application servers (Node.js). It supports both relational tables and document-oriented collections (JSON).,"Relational,Document / XML",SQL,,http://alasql.org,https://github.com/agershun/alasql,https://github.com/agershun/alasql/wiki,Andrey Gershun,RU,2014,,Open Source,JavaScript,JavaScript,,MIT,,"Relational,Document",Y,agershun/alasql,agershun,alasql,Y
alchemydb,AlchemyDB,https://dbdb.io/db/alchemydb,,"Last updated May 13, 2022, 11:45 a.m.","AlchemyDB is a NewSQL RDBMS built on top,Redis,.",Relational,SQL,Shared-Everything,https://code.google.com/p/alchemydatabase/,https://github.com/JakSprats/Alchemy-Database,https://code.google.com/archive/p/alchemydatabase/wikis,Russell Sullivan,US,2010,2012,"Commercial,Open Source",C,,,AGPL v3,,Relational,Y,JakSprats/Alchemy-Database,JakSprats,Alchemy-Database,Y
alenka,Alenka,https://dbdb.io/db/alenka,https://dbdb.io/media/logos/alenka_UFGMXu1.png.200x200_q85.png,"Last updated July 24, 2019, 7:40 a.m.",Alenka is a GPU-based query execution engine.,Relational,SQL,,https://github.com/antonmks/Alenka,,,,US,2012,2017,Open Source,C,,,Apache v2,,Relational,Y,antonmks/Alenka,antonmks,Alenka,Y
altibase,Altibase,https://dbdb.io/db/altibase,https://dbdb.io/media/logos/altibase.png.200x200_q85.png,"Last updated Oct. 5, 2022, 9:16 p.m.","Atibase is a relational open-source database management system that is compatible and interoperable with Oracle. Atibase is a hybrid database – data can be stored and manipulated in main memory alone, and physical disk alone, or a combination of both. Altibase is an in-memory database, and its utilization of server-side and client-side sharding architecture allows for a linear performance enhancement without coordinator-related bottlenecks, regardless of the number of servers added. In addition, Altibase can be used as a front-end solution to Oracle, specifically acting as a user interface that allows users the access of raw, structured, or tabular data within the application.",Relational,SQL,Shared-Nothing,http://altibase.com/,https://github.com/ALTIBASE/altibase,https://github.com/ALTIBASE/Documents,Altibase Corp.,KR,1999,,"Commercial,Open Source","C,C++","C,C++,Java",,AGPL v3,"AIX,HP-UX,Linux,Windows",Relational,Y,ALTIBASE/altibase,ALTIBASE,altibase,Y
angstromdb,AngstromDB,https://dbdb.io/db/angstromdb,,"Last updated Jan. 29, 2021, 11:50 a.m.","AngstromDB is a NoSQL key-value DBMS based on,LMDB,.",Key/Value,,,https://github.com/Amaury/AngstromDB,https://github.com/Amaury/AngstromDB,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",C,,,Apache v2,Linux,Key-value,Y,Amaury/AngstromDB,Amaury,AngstromDB,Y
antdb,AntDB,https://dbdb.io/db/antdb,https://dbdb.io/media/logos/antdb.svg,"Last updated Feb. 15, 2023, 8:46 p.m.",AntDB is a distributed DBMS forked from PostgreSQL.,Object-Relational,SQL,,https://www.asiainfo.com/en_us/product_aisware_antDB.html,https://github.com/ADBSQL/AntDB,https://adbsql.github.io/docs/,AsiaInfo,CN,,,"Commercial,Open Source",C,,,Apache v2,,"Object oriented,Relational",Y,ADBSQL/AntDB,ADBSQL,AntDB,Y
antidote,Antidote,https://dbdb.io/db/antidote,https://dbdb.io/media/logos/antidotedb.png.200x200_q85.png,"Last updated Jan. 2, 2022, 8:30 p.m.",AntidoteDB is a geo-replicated key-value DBMS that uses CRDTs to synchronize changes between nodes.,Key/Value,SQL,,https://www.antidotedb.eu/,https://github.com/AntidoteDB/antidote,https://antidotedb.gitbook.io/documentation/,SyncFree European Project,FR,2015,,"Academic,Open Source",Erlang,,,Apache v2,,Key-value,Y,AntidoteDB/antidote,AntidoteDB,antidote,Y
aodbm,AODBM,https://dbdb.io/db/aodbm,,"Last updated June 3, 2018, 10:45 p.m.","AODBM (""append only database manager"") is designed in the style of dbm.",,,,https://github.com/DanielWaterworth/AODBM,https://github.com/DanielWaterworth/AODBM,,Daniel Waterworth,GB,2011,2011,Open Source,C,,,LGPL v3,,,Y,DanielWaterworth/AODBM,DanielWaterworth,AODBM,Y
arakoon,Arakoon,https://dbdb.io/db/arakoon,https://dbdb.io/media/logos/arakoon.png.200x200_q85.png,"Last updated Sept. 30, 2019, 7:19 a.m.",Arakoon was a distributed key-value store with strong consistency guarantees.,Key/Value,Custom API,Shared-Nothing,http://arakoon.org/,https://github.com/Incubaid/arakoon,http://arakoon.org/documentation/index.html,Incubaid,BE,2010,2015,Open Source,Ocaml,,Tokyo Cabinet,Apache v2,,Key-value,Y,Incubaid/arakoon,Incubaid,arakoon,Y
arangodb,ArangoDB,https://dbdb.io/db/arangodb,https://dbdb.io/media/logos/arangodb.svg,"Last updated June 26, 2022, 11:38 p.m.","ArangoDB is a multi-model mostly-memory database. It supports key-value, documents, and graphs stores with JSON data format. ArangoDB stores all data in persistent storage to provide durability. However, to efficiently use ArangoDB, the frequently accessed pages, or equivalently called the working set, should be able to fit into the main memory. At the same time, unlike most NoSQL databases, ArangoDB supports join operation and allows users to specify either multi-collections transactions for ACID properties or standard single-document transactions for performance boosting.","Key/Value,Document / XML,Graph","Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,https://www.arangodb.com,https://github.com/arangodb/arangodb,https://www.arangodb.com/documentation/,ArangoDB GmbH,DE,2011,,"Commercial,Open Source",C++,"C#,Java,JavaScript,PHP,Python,Ruby",,Apache v2,"Linux,OS X,Solaris,Windows","Key-value,Document,Graph",Y,arangodb/arangodb,arangodb,arangodb,Y
arcadedb,ArcadeDB,https://dbdb.io/db/arcadedb,https://dbdb.io/media/logos/arcadedb.png.200x200_q85.png,"Last updated Jan. 2, 2022, 4:08 p.m.",ArcadeDB is a multi-model DBMS created as a fork from OrientDB.,"Relational,Key/Value,Document / XML,Graph","SQL,Cypher,HTTP / REST","Shared-Everything,Embedded",https://arcadedb.com/,https://github.com/ArcadeData/arcadedb,https://docs.arcadedb.com/,Arcade Data Ltd,GB,2021,,"Commercial,Open Source",Java,,,Apache v2,All OS with Java VM,"Relational,Key-value,Document,Graph",Y,ArcadeData/arcadedb,ArcadeData,arcadedb,Y
ardb,Ardb,https://dbdb.io/db/ardb,,"Last updated July 18, 2019, 6:21 p.m.",Ardb is a Redis-compatible NoSQL DBMS that is designed to support multiple storage backends.,Key/Value,Custom API,,https://github.com/yinqiwen/ardb,https://github.com/yinqiwen/ardb,,Yinqi Wen,CN,2013,,Open Source,C++,,"ForestDB,LevelDB,LMDB,RocksDB,WiredTiger",BSD,,Key-value,Y,yinqiwen/ardb,yinqiwen,ardb,Y
aresdb,AresDB,https://dbdb.io/db/aresdb,https://dbdb.io/media/logos/aresdb.png.200x200_q85.png,"Last updated Jan. 10, 2020, 2:20 p.m.","AresDB is a GPU-based real-time analytics database with low memory overhead, real-time upserts with primary key deduplication, and time series aggregations on both streaming and finite dimensional data, including geofences.",Relational,Custom API,Shared-Disk,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,https://github.com/uber/aresdb/wiki,Uber,US,2018,,Open Source,"C,C++,Go",,,Apache v2,Linux,Relational,Y,uber/aresdb,uber,aresdb,Y
asami,Asami,https://dbdb.io/db/asami,,"Last updated Nov. 18, 2022, 10 p.m.",Asami is a graph-oriented DBMS written in Clojure.,Graph,Custom API,Shared-Everything,https://github.com/quoll/asami,https://github.com/quoll/asami,https://github.com/quoll/asami/wiki,"Cisco, Paula Gearon",US,2018,,"Hobby,Open Source",Clojure,,,Eclipse Public License,All OS with Java VM,Graph,Y,quoll/asami,quoll,asami,Y
assassin,Assassin,https://dbdb.io/db/assassin,https://dbdb.io/media/logos/assassin.svg,"Last updated June 26, 2022, 11:41 p.m.","Assassin is a decentralized key-value DBMS written in JavaScript. It uses a peer-to-peer protocol to replicate data across multiple machines. It stores its meta-data catalog on top of the,Hyperdrive,distributed filesystem.",Key/Value,Custom API,Shared-Nothing,https://assassin-demo.surge.sh/,https://github.com/genderev/assassin,,Ender Minyard,US,2020,,Open Source,JavaScript,JavaScript,,MIT,,Key-value,Y,genderev/assassin,genderev,assassin,Y
asterixdb,AsterixDB,https://dbdb.io/db/asterixdb,https://dbdb.io/media/logos/asterixdb.svg,"Last updated June 27, 2022, 12:02 a.m.","AsterixDB is a DBMS that is highly parallel and, consequently, highly scalable. It has its own semi-structured data model similar to JSON/XML, as well as a custom query interface (SQL++) that incorporates much of SQL’s original functionality as well as new features. It partitions its data based on hashing and has a custom query execution engine, Apache Hyracks, to ensure that query plans take advantage of this partitioning and parallelize as much as possible.",Document / XML,Custom API,Shared-Nothing,https://asterixdb.apache.org/,https://github.com/apache/asterixdb,https://ci.apache.org/projects/asterixdb/index.html,University of California-Irvine and University of California-Riverside,US,2009,,"Academic,Open Source",Java,,,Apache v2,All OS with Java VM,Document,Y,apache/asterixdb,apache,asterixdb,Y
atlas,Atlas,https://dbdb.io/db/atlas,https://dbdb.io/media/logos/netflix_atlas.png.200x200_q85.png,"Last updated May 14, 2019, 8:28 p.m.",Atlas is a dimensional time series data database management system for near real-time operational analytics.,,Custom API,,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas/wiki,Netflix,US,2014,,Open Source,Scala,,,,,,Y,Netflix/atlas,Netflix,atlas,Y
aviondb,AvionDB,https://dbdb.io/db/aviondb,https://dbdb.io/media/logos/aviondb.svg,"Last updated June 26, 2022, 11:46 p.m.","AvionDB is decentralized document DBMS built on top of,IPFS,. It uses,OrbitDB,for its database storage at each node.",Document / XML,Custom API,Shared-Nothing,https://github.com/dappkit/aviondb,https://github.com/dappkit/aviondb,https://github.com/dappkit/aviondb-specs,DappKit,"US,IN",2020,,"Commercial,Open Source",JavaScript,,OrbitDB,MIT,,Document,Y,dappkit/aviondb,dappkit,aviondb,Y
axion,Axion,https://dbdb.io/db/axion,https://dbdb.io/media/logos/axion.png.200x200_q85.png,"Last updated Nov. 29, 2018, 5:24 p.m.",Axion is a relational database system supporting SQL and JDBC written in and for the Java programming language.,Relational,SQL,Embedded,http://axion.tigris.org/,http://axion.tigris.org/source/browse/axion/,http://axion.tigris.org/using.html,,US,2002,2007,Open Source,Java,Java,,,,Relational,,,,,Y
badgerdb,BadgerDB,https://dbdb.io/db/badgerdb,https://dbdb.io/media/logos/badgerdb.png.200x200_q85.png,"Last updated Dec. 31, 2018, 5:15 p.m.","Badger started as a key-value store, so the goal was to use the latest research to build a key-value store. It uses a log-structured merge (LSM) tree based implementation, which has an advantage in throughput when compared to B+ tree since background (disk) writes in LSM maintain a sequential access pattern.",Key/Value,Custom API,Embedded,https://github.com/dgraph-io/badger,,https://godoc.org/github.com/dgraph-io/badger,Dgraph,US,2017,,Open Source,Go,,,Apache v2,"iOS,Linux,Windows",Key-value,Y,dgraph-io/badger,dgraph-io,badger,Y
bagri,Bagri,https://dbdb.io/db/bagri,https://dbdb.io/media/logos/bagridb.png.200x200_q85.png,"Last updated June 3, 2018, 11:18 p.m.","Bagri is a document-oriented DBMS designed to run on top of a distributed cache (e.g., Hazelcast, Coherence).",Document / XML,,,http://bagridb.com,https://github.com/dsukhoroslov/bagri,,,RU,2014,,Open Source,Java,,,Apache v2,All OS with Java VM,Document,Y,dsukhoroslov/bagri,dsukhoroslov,bagri,Y
baikaldb,BaikalDB,https://dbdb.io/db/baikaldb,https://dbdb.io/media/logos/baikaldb.png.200x200_q85.png,"Last updated June 9, 2021, 7:57 p.m.",BaikalDB is a distributed OLTP database system created by Baidu.,Relational,SQL,Shared-Nothing,http://baikaldb.com/,https://github.com/baidu/BaikalDB,https://github.com/baidu/BaikalDB/tree/master/docs,Baidu,CN,2018,,Open Source,C++,,RocksDB,Apache v2,,Relational,Y,baidu/BaikalDB,baidu,BaikalDB,Y
bangdb,BangDB,https://dbdb.io/db/bangdb,https://dbdb.io/media/logos/bangdb.png.200x200_q85.png,"Last updated Jan. 2, 2022, 8:37 p.m.",,Key/Value,,"Shared-Everything,Embedded",http://bangdb.com/,https://github.com/sachin-sinha/BangDB,http://bangdb.com/resources.php,IQLECT,IN,2015,,"Commercial,Open Source",C,,,BSD,Linux,Key-value,Y,sachin-sinha/BangDB,sachin-sinha,BangDB,Y
basex,BaseX,https://dbdb.io/db/basex,https://dbdb.io/media/logos/basex.svg,"Last updated June 26, 2022, 11:55 p.m.",BaseX is a light-weight XML database management system and XQuery processor.,Document / XML,XQuery,,http://basex.org/,https://github.com/BaseXdb/basex,http://docs.basex.org/wiki/Main_Page,,DE,2007,,"Academic,Open Source",Java,,,BSD,,Document,Y,BaseXdb/basex,BaseXdb,basex,Y
bayesdb,BayesDB,https://dbdb.io/db/bayesdb,https://dbdb.io/media/logos/bayesdb.png.200x200_q85.png,"Last updated March 15, 2020, 11:33 a.m.",BayesDB is a probabilistic programming platform that provides built-in non-parametric Bayesian model discovery.,,,,http://probcomp.csail.mit.edu/software/bayesdb/,https://github.com/probcomp/bayeslite,,Massachusetts Institute of Technology,US,2015,,"Academic,Open Source",Python,,,Apache v2,,,Y,probcomp/bayeslite,probcomp,bayeslite,Y
bbolt,bbolt,https://dbdb.io/db/bbolt,,"Last updated Nov. 4, 2020, 10:33 p.m.","bbolt is a fork of the abandoned,BoltDB,project. The authors are maintaining the system with performance enhancements and additional features not found in the original BoltDB system.",Key/Value,,,https://go.etcd.io/bbolt,https://github.com/etcd-io/bbolt,,CoreOS,US,2017,,Open Source,Go,,,MIT,,Key-value,Y,etcd-io/bbolt,etcd-io,bbolt,Y
bboxdb,BBoxDB,https://dbdb.io/db/bboxdb,https://dbdb.io/media/logos/bboxdb.png.200x200_q85.png,"Last updated June 3, 2022, 12:23 p.m.",BBoxDB is a distributed DBMS that supports bounding box queries on multi-dimensional data.,Array / Matrix,"Custom API,Command-line / Shell",Shared-Nothing,https://bboxdb.org/,https://github.com/jnidzwetzki/bboxdb,https://jnidzwetzki.github.io/bboxdb/,Jan Nidzwetzki,DE,2015,,Open Source,Java,,Zookeeper,Apache v2,All OS with Java VM,Array,Y,jnidzwetzki/bboxdb,jnidzwetzki,bboxdb,Y
beagle-sql,Beagle SQL,https://dbdb.io/db/beagle-sql,https://dbdb.io/media/logos/beaglesql.png.200x200_q85.png,"Last updated May 12, 2018, 1:40 p.m.",,Relational,,,http://www.beaglesql.org/,https://github.com/jonahharris/osdb-beaglesql,http://www.beaglesql.org/docs/,"Robert Klein, Jean-Claude Magras",US,1996,1999,Open Source,C++,,,,,Relational,Y,jonahharris/osdb-beaglesql,jonahharris,osdb-beaglesql,Y
bedrock,Bedrock,https://dbdb.io/db/bedrock,https://dbdb.io/media/logos/bedrock_logo.png.200x200_q85.png,"Last updated Dec. 10, 2019, 12:42 a.m.","Bedrock is a networking and distributed transaction layer built on top of SQLite. It is a distributed relational database management system designed for geo-replication. It was initially made for (and is owned by) Expensify, the expense management company.",Relational,"SQL,Command-line / Shell","Shared-Disk,Embedded",http://bedrockdb.com/,https://github.com/Expensify/Bedrock,https://github.com/Expensify/Bedrock/tree/master/docs,Expensify,US,2016,,Open Source,C++,C++,SQLite,LGPL v3,"Linux,OS X",Relational,Y,Expensify/Bedrock,Expensify,Bedrock,Y
bergdb,BergDB,https://dbdb.io/db/bergdb,https://dbdb.io/media/logos/bergdb.png.200x200_q85.png,"Last updated Jan. 4, 2022, 7:42 a.m.","BergDB is an embedded, document-oriented, schemaless, NoSQL DBMS for Java and .NET applications.",Document / XML,,Embedded,http://bergdb.com/,http://bergdb.com/releases.html,,Frans Lundberg,SE,2013,,Open Source,Java,,,AGPL v3,,Document,,,,,Y
beringei,Beringei,https://dbdb.io/db/beringei,https://dbdb.io/media/logos/beringei.png.200x200_q85.png,"Last updated Dec. 10, 2019, 11:38 a.m.","Beringei is an embedded in-memory storage engine for time series data developed by Facebook. It was developed by Facebook to handle the growing scale of their system health monitoring data, as they needed a faster solution to storing constant stream of time series data, as well as a fast way to query this data.",Key/Value,Custom API,Shared-Nothing,https://code.fb.com/core-data/beringei-a-high-performance-time-series-storage-engine/,https://github.com/facebookarchive/beringei,http://www.vldb.org/pvldb/vol8/p1816-teller.pdf,Facebook,US,2015,2017,Open Source,C++,C++,,BSD,Linux,Key-value,Y,facebookarchive/beringei,facebookarchive,beringei,Y
berkeley-db,Berkeley DB,https://dbdb.io/db/berkeley-db,https://dbdb.io/media/logos/berkeleydb.png.200x200_q85.png,"Last updated Jan. 3, 2022, 9:03 a.m.","BerkeleyDB (sometimes referred to as simply ""BDB"") is an embedded open-source, database storage library. The simplicity arises from the fact that it is a basic key-value store and not a full-fledged database system that provides querying and schema constraints. It offers flexibility by being schema-less and by providing convenient mechanisms to include and discard features. BerkeleyDB provides complete ACID compliance through its five subsystems, namely, caching, datastore, locking, logging and recovery. All these five subsystems are implemented using concepts like two-phase locking, undo/redo write-ahead logging, etc. This enables it to offer high performance for a variety of workloads and handle very large-sized key-vale stores (order of Terabytes). Due to these properties, many applications like filesystems, LDAP servers and database systems (like MySQL) use BerkeleyDB for their backend storage requirements.","Key/Value,Document / XML","Custom API,SQL,PL/SQL",Embedded,http://www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,https://github.com/berkeleydb/libdb,,Sleepycat Software,US,1994,,"Commercial,Open Source",,"C++,Clojure,D,Delphi,Eiffel,Erlang,Go,Haskell,Java,JavaScript,Lisp,Lua,Matlab,Ocaml,Perl,PHP,PL/SQL,Prolog,Python,R,Rebol,Ruby,Scala,Smalltalk,Tcl,Visual Basic",,"AGPL v3,Apache v2","AIX,Android,BSD,DOS,HP-UX,iOS,Linux,OS X,Solaris,VxWorks,Windows,z/OS","Key-value,Document",Y,berkeleydb/libdb,berkeleydb,libdb,Y
beryldb,BerylDB,https://dbdb.io/db/beryldb,https://dbdb.io/media/logos/beryldb.svg,"Last updated June 26, 2022, 11:57 p.m.","BerylDB is a key-value DBMS that supports storing lists, sets, and maps. It uses RocksDB as its underlying storage manager.",Key/Value,Custom API,,https://beryl.dev,https://github.com/beryldb/beryldb,https://docs.beryl.dev/,Beryl Labs,CL,2021,,"Hobby,Open Source",C++,"JavaScript,PHP,Python",RocksDB,BSD,"Linux,OS X",Key-value,Y,beryldb/beryldb,beryldb,beryldb,Y
bigchaindb,BigchainDB,https://dbdb.io/db/bigchaindb,https://dbdb.io/media/logos/bigchaindb.svg,"Last updated June 26, 2022, 11:56 p.m.","BigchainDB is an open-source blockchain database. It is a NoSQL database that has blockchain properties such as immutability, decentralization and owner-controlled asset. Immutability is the property that once the data is stored in BigchainDB, it can’t be modified or erased. Decentralization means there is no single point of failure in the control and storage process of the data. The owner-controlled asset is the property that only the owner of the asset can transfer the asset. The database provides the user with Byzantine Fault Tolerance (BFT) with no more than one-third arbitrary node failures. There are two main layers in BigchainDB, the consensus layer based on Tendermint the and storage layer based on MongoDB.","Key/Value,Document / XML",HTTP / REST,Shared-Nothing,https://www.bigchaindb.com/,https://github.com/bigchaindb/bigchaindb,https://docs.bigchaindb.com/en/latest/,BigchainDB GmbH,DE,2015,,"Commercial,Open Source",Python,"JavaScript,Python",,Apache v2,,"Key-value,Document",Y,bigchaindb/bigchaindb,bigchaindb,bigchaindb,Y
binaryrage,BinaryRage,https://dbdb.io/db/binaryrage,,"Last updated June 2, 2022, 5:09 p.m.",BinaryRage is an embedded key-value store DBMS written for .NET environments.,Key/Value,Custom API,Embedded,https://github.com/mchidk/BinaryRage,https://github.com/mchidk/BinaryRage,,Michael Christensen,DK,2012,2016,"Hobby,Open Source",C#,C#,,,Windows,Key-value,Y,mchidk/BinaryRage,mchidk,BinaryRage,Y
bitcask,Bitcask,https://dbdb.io/db/bitcask,https://dbdb.io/media/logos/bitcask.svg,"Last updated June 26, 2022, 11:52 p.m.","Bitcask is an embedded key-value DBMS that uses a log-structured storage format. The system includes a built-in,Redis,compatible server interface.",Key/Value,Custom API,Embedded,https://prologic.github.io/bitcask/,https://github.com/prologic/bitcask,https://pkg.go.dev/github.com/prologic/bitcask,James Mills,AU,2019,,Open Source,Go,Go,,MIT,"Linux,OS X,Windows",Key-value,Y,prologic/bitcask,prologic,bitcask,Y
